75, 921, 2252, -455
173, 918, 2258, -454
193, 917, 2259, -455
216, 917, 2259, -456
281, 920, 2254, -460
304, 923, 2250, -461
324, 925, 2246, -462
426, 929, 2238, -466
441, 932, 2232, -466
459, 935, 2228, -467
482, 936, 2224, -468
497, 938, 2221, -468
566, 940, 2217, -470
582, 941, 2214, -470
602, 942, 2211, -471
671, 944, 2208, -472
690, 945, 2205, -473
708, 946, 2203, -473
796, 947, 2201, -474
818, 948, 2198, -474
963, 949, 2195, -476
1038, 950, 2193, -476
1053, 951, 2192, -476
1072, 951, 2190, -476
1091, 952, 2190, -476
1199, 952, 2189, -477
1216, 952, 2188, -477
1234, 952, 2188, -477
1250, 953, 2187, -477
1267, 953, 2187, -477
1339, 953, 2187, -477
1358, 953, 2186, -477
1380, 953, 2186, -477
1399, 953, 2186, -477
1480, 953, 2186, -477
1497, 953, 2186, -477
1523, 953, 2185, -477
1639, 953, 2185, -477
